Constituency,State,Winner,WinnerParty,WinnerVotes,RunnerUp,RunnerUpParty,RunnerUpVotes,Margin
Bhagalpur,Bihar,AJAY KUMAR MANDAL,Janata Dal  (United),536031.0,AJEET SHARMA,Indian National Congress,431163.0,104868.0
Moradabad,Uttar Pradesh,RUCHI VIRA,Samajwadi Party,637363.0,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,531601.0,105762.0
Karakat,Bihar,RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),380581.0,PAWAN SINGH,Independent,274723.0,105858.0
Hingoli,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),492535.0,BABURAO KADAM KOHALIKAR,Shiv Sena,383933.0,108602.0
Kannur,Kerala,K. SUDHAKARAN,Indian National Congress,518524.0,M.V. JAYARAJAN,Communist Party of India  (Marxist),409542.0,108982.0
Nizamabad,Telangana,ARVIND DHARMAPURI,Bharatiya Janata Party,592318.0,JEEVANREDDY THATIPARTHI,Indian National Congress,483077.0,109241.0
Inner Manipur,Manipur,ANGOMCHA BIMOL AKOIJAM,Indian National Congress,374017.0,THOUNAOJAM BASANTA KUMAR SINGH,Bharatiya Janata Party,264216.0,109801.0
Jalna,Maharashtra,KALYAN VAIJINATHRAO KALE,Indian National Congress,607897.0,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,497939.0,109958.0
Kurnoolu,Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,658914.0,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,547616.0,111298.0
Nandyal,Andhra Pradesh,DR BYREDDY SHABARI,Telugu Desam,701131.0,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,589156.0,111975.0
Jamui,Bihar,ARUN BHARTI,Lok Janshakti Party(Ram Vilas),509046.0,ARCHANA KUMARI,Rashtriya Janata Dal,396564.0,112482.0
Dindori,Maharashtra,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,577339.0,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,464140.0,113199.0
CHHINDWARA,Madhya Pradesh,BUNTY VIVEK SAHU,Bharatiya Janata Party,644738.0,NAKUL KAMALNATH,Indian National Congress,531120.0,113618.0
Barasat,West Bengal,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,692010.0,SWAPAN MAJUMDER,Bharatiya Janata Party,577821.0,114189.0
Vadakara,Kerala,SHAFI PARAMBIL,Indian National Congress,557528.0,K K SHAILAJA TEACHER,Communist Party of India  (Marxist),443022.0,114506.0
Lalganj,Uttar Pradesh,DAROGA PRASAD SAROJ,Samajwadi Party,439959.0,NEELAM SONKER,Bharatiya Janata Party,324936.0,115023.0
