Constituency,State,Winner,Party,"CAST(""Total Votes"" AS INTEGER)","CAST(""% of Votes"" AS FLOAT)"
Mandya,Karnataka,H.D. KUMARASWAMY,Janata Dal  (Secular),851881,58.34
Medinipur,West Bengal,JUNE MALIAH,All India Trinamool Congress,702192,47.4
Moradabad,Uttar Pradesh,RUCHI VIRA,Samajwadi Party,637363,49.67
Nagina,Uttar Pradesh,CHANDRASHEKHAR,Aazad Samaj Party (Kanshi Ram),512552,51.19
Purvi Champaran,Bihar,RADHA MOHAN SINGH,Bharatiya Janata Party,542193,50.5
RATLAM,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,795863,51.93
Raver,Maharashtra,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,630879,53.84
SALEM,Tamil Nadu,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,566085,43.38
Sangrur,Punjab,GURMEET SINGH MEET HAYER,Aam Aadmi Party,364085,36.06
Srikakulam,Andhra Pradesh,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,754328,61.05
Supaul,Bihar,DILESHWAR KAMAIT,Janata Dal  (United),595038,48.33
Vijayawada,Andhra Pradesh,KESINENI SIVANATH (CHINNI),Telugu Desam,794154,58.21
Ahmedabad East,Gujarat,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,770459,68.28
Amroha,Uttar Pradesh,KANWAR SINGH TANWAR,Bharatiya Janata Party,476506,42.9
Ballia,Uttar Pradesh,SANATAN PANDEY,Samajwadi Party,467068,46.37
Bankura,West Bengal,ARUP CHAKRABORTY,All India Trinamool Congress,641813,44.33
Bishnupur,West Bengal,KHAN SAUMITRA,Bharatiya Janata Party,680130,44.93
CHHINDWARA,Madhya Pradesh,BUNTY VIVEK SAHU,Bharatiya Janata Party,644738,49.41
Chamarajanagar,Karnataka,SUNIL BOSE,Indian National Congress,751671,54.87
Chhota Udaipur,Gujarat,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,796589,62.84
Daman & Diu,Dadra & Nagar Haveli and Daman & Diu,PATEL UMESHBHAI BABUBHAI,Independent,42523,46.02
Diphu,Assam,AMARSING TISSO,Bharatiya Janata Party,334620,49.01
Eluru,Andhra Pradesh,PUTTA MAHESH KUMAR,Telugu Desam,746351,54.0
HISAR,Haryana,JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,570424,48.58
Hingoli,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),492535,42.49
INDORE,Madhya Pradesh,SHANKAR LALWANI,Bharatiya Janata Party,1226751,78.54
JABALPUR,Madhya Pradesh,ASHISH DUBEY,Bharatiya Janata Party,790133,68.2
Jhargram,West Bengal,KALIPADA SAREN (KHERWAL),All India Trinamool Congress,743478,49.87
Kandhamal,Odisha,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,416415,41.8
Kanthi,West Bengal,ADHIKARI SOUMENDU,Bharatiya Janata Party,763195,49.85
Kheri,Uttar Pradesh,UTKARSH VERMA  'MADHUR',Samajwadi Party,557365,45.94
Kottayam,Kerala,ADV K FRANCIS GEORGE,Kerala Congress,364631,43.6
MANDSOUR,Madhya Pradesh,SUDHEER GUPTA,Bharatiya Janata Party,945761,65.98
Maharajganj,Uttar Pradesh,PANKAJ CHAUDHARY,Bharatiya Janata Party,591310,48.85
Mavelikkara,Kerala,KODIKUNNIL SURESH,Indian National Congress,369516,41.29
Nanded,Maharashtra,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,528894,46.88
Nellore,Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,766202,55.7
Osmanabad,Maharashtra,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),748752,58.45
RAJNANDGAON,Chhattisgarh,SANTOSH PANDEY,Bharatiya Janata Party,712057,49.25
Rajampet,Andhra Pradesh,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,644844,48.38
Rajkot,Gujarat,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,857984,67.37
Ramtek,Maharashtra,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,613025,48.94
SAGAR,Madhya Pradesh,DR. LATA WANKHEDE,Bharatiya Janata Party,787979,68.49
Siwan,Bihar,VIJAYLAKSHMI DEVI,Janata Dal  (United),386508,38.73
Tripura West,Tripura,BIPLAB KUMAR DEB,Bharatiya Janata Party,881341,72.85
Valmiki Nagar,Bihar,SUNIL KUMAR,Janata Dal  (United),523422,47.5
Agra,Uttar Pradesh,PROF S P SINGH BAGHEL,Bharatiya Janata Party,599397,53.34
Badaun,Uttar Pradesh,ADITYA YADAV,Samajwadi Party,501855,45.97
Baghpat,Uttar Pradesh,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,488967,52.36
Bardoli,Gujarat,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,763950,57.04
Barpeta,Assam,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,860113,51.02
CHENNAI SOUTH,Tamil Nadu,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,516628,47.0
Cuttack,Odisha,BHARTRUHARI MAHTAB,Bharatiya Janata Party,531601,47.43
DHARMAPURI,Tamil Nadu,MANI. A.,Dravida Munnetra Kazhagam,432667,34.67
Deoria,Uttar Pradesh,SHASHANK MANI,Bharatiya Janata Party,504541,48.36
GURGAON,Haryana,RAO INDERJIT SINGH,Bharatiya Janata Party,808336,50.48
GWALIOR,Madhya Pradesh,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,671535,49.99
Hardoi,Uttar Pradesh,JAI PRAKASH,Bharatiya Janata Party,486798,44.25
JANJGIR,Chhattisgarh,KAMLESH JANGDE,Bharatiya Janata Party,678199,48.71
JHUNJHUNU,Rajasthan,BRIJENDRA SINGH OLA,Indian National Congress,553168,49.44
JODHPUR,Rajasthan,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,730056,52.76
Jajpur,Odisha,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,534239,46.01
