State,Constituency,Candidate,Party,Votes,Rnk
Uttar Pradesh,Jalaun,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,548631,1
Uttar Pradesh,Jalaun,BRIJLAL KHABRI,Bahujan Samaj Party,261429,2
Uttar Pradesh,Lalganj,NEELAM SONKAR,Bharatiya Janata Party,324016,1
Uttar Pradesh,Lalganj,BECHAI SAROJ,Samajwadi Party,260930,2
Uttar Pradesh,Lucknow,RAJ NATH SINGH,Bharatiya Janata Party,561106,1
Uttar Pradesh,Lucknow,PROF. RITA BAHUGUNA JOSHI,Indian National Congress,288357,2
Uttar Pradesh,Mainpuri,MULAYAM SINGH YADAV,Samajwadi Party,595918,1
Uttar Pradesh,Mainpuri,SHATRUGHAN SINGH CHAUHAN,Bharatiya Janata Party,231252,2
Uttar Pradesh,Sitapur,RAJESH VERMA,Bharatiya Janata Party,417546,1
Uttar Pradesh,Sitapur,KAISER JAHAN,Bahujan Samaj Party,366519,2
West Bengal,Darjeeling,S.S.AHLUWALIA,Bharatiya Janata Party,488257,1
West Bengal,Darjeeling,BHAI CHUNG BHUTIA,All India Trinamool Congress,291018,2
West Bengal,Jalpaiguri,BIJOY CHANDRA BARMAN,All India Trinamool Congress,494773,1
West Bengal,Jalpaiguri,MAHENDRA KUMAR ROY,Communist Party of India  (Marxist),425167,2
West Bengal,Maldaha Dakshin,ABU HASEM KHAN CHOWDHURY,Indian National Congress,380291,1
West Bengal,Maldaha Dakshin,BISNU PADA ROY,Bharatiya Janata Party,216180,2
West Bengal,Murshidabad,BADARUDDOZA KHAN,Communist Party of India  (Marxist),426947,1
West Bengal,Murshidabad,ABDUL MANNAN HOSSAIN,Indian National Congress,408494,2
Andhra Pradesh,Aruku,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party,413191,1
Andhra Pradesh,Aruku,GUMMIDI SANDHYARANI,Telugu Desam,321793,2
Andhra Pradesh,Nalgonda,GUTHA SUKHENDER REDDY,Indian National Congress,472093,1
Andhra Pradesh,Nalgonda,TERA CHINNAPA REDDY,Telugu Desam,278937,2
Bihar,Begusarai,BHOLA SINGH,Bharatiya Janata Party,428227,1
Bihar,Begusarai,MD. TANVEER HASSAN,Rashtriya Janata Dal,369892,2
Bihar,Purnia,SANTOSH KUMAR,Janata Dal  (United),418826,1
Bihar,Purnia,UDAY SINGH ALIAS PAPPU SINGH,Bharatiya Janata Party,302157,2
